sample_order,recommendation_id,case_id,jurisdiction,year,year_bin,recommendation_count,text_chars,theme,mechanism,addressee,specificity,scope,has_deadline_or_metric,ambiguous_theme,ambiguous_mechanism,ambiguous_addressee,ambiguous_specificity,ambiguous_scope,requires_legal_expertise,non_english_or_redacted,coder_notes
1,vic/VicCorC/2015/98,vic/VicCorC/2015/98,VIC,2015,2010-2019,1,1248,,,,,,,,,,,,,,
2,vic/VicCorC/2019/26024,vic/VicCorC/2019/26024,VIC,2019,2010-2019,1,1399,,,,,,,,,,,,,,
3,nsw/NSWCorC/2025/53,nsw/NSWCorC/2025/53,NSW,2025,2020plus,1,402,,,,,,,,,,,,,,
4,vic/VicCorC/2022/27720,vic/VicCorC/2022/27720,VIC,2022,2020plus,1,1111,,,,,,,,,,,,,,
5,nt/NTCorC/2020/4,nt/NTCorC/2020/4,NT,2020,2020plus,1,1401,,,,,,,,,,,,,,
6,nsw/NSWCorC/2015/70,nsw/NSWCorC/2015/70,NSW,2015,2010-2019,4,870,,,,,,,,,,,,,,
7,qld/QldCorC/2017/15,qld/QldCorC/2017/15,QLD,2017,2010-2019,1,1849,,,,,,,,,,,,,,
8,vic/VicCorC/2021/27213,vic/VicCorC/2021/27213,VIC,2021,2020plus,6,3820,,,,,,,,,,,,,,
9,qld/QldCorC/2007/41,qld/QldCorC/2007/41,QLD,2007,pre2010,2,1829,,,,,,,,,,,,,,
10,wa/WACorC/2023/34,wa/WACorC/2023/34,WA,2023,2020plus,8,4460,,,,,,,,,,,,,,
11,sa/SACorC/2012/23,sa/SACorC/2012/23,SA,2012,2010-2019,1,1051,,,,,,,,,,,,,,
12,sa/SACorC/2013/6,sa/SACorC/2013/6,SA,2013,2010-2019,4,3082,,,,,,,,,,,,,,
13,act/ACTCD/2025/4,act/ACTCD/2025/4,ACT,2025,2020plus,7,6608,,,,,,,,,,,,,,
14,nt/NTCorC/2018/7,nt/NTCorC/2018/7,NT,2018,2010-2019,6,2279,,,,,,,,,,,,,,
15,tas/TasCorC/2022/120,tas/TasCorC/2022/120,TAS,2022,2020plus,2,751,,,,,,,,,,,,,,
16,act/ACTCD/2018/2,act/ACTCD/2018/2,ACT,2018,2010-2019,1,842,,,,,,,,,,,,,,
17,qld/QldCorC/2010/27,qld/QldCorC/2010/27,QLD,2010,2010-2019,3,4056,,,,,,,,,,,,,,
18,vic/VicCorC/2023/28537,vic/VicCorC/2023/28537,VIC,2023,2020plus,14,10671,,,,,,,,,,,,,,
19,wa/WACorC/2019/51,wa/WACorC/2019/51,WA,2019,2010-2019,9,5206,,,,,,,,,,,,,,
20,vic/VicCorC/2013/163,vic/VicCorC/2013/163,VIC,2013,2010-2019,3,1797,,,,,,,,,,,,,,
21,nt/NTCorC/2018/3,nt/NTCorC/2018/3,NT,2018,2010-2019,1,279,,,,,,,,,,,,,,
22,qld/QldCorC/2019/28,qld/QldCorC/2019/28,QLD,2019,2010-2019,23,8625,,,,,,,,,,,,,,
23,wa/WACorC/2013/39,wa/WACorC/2013/39,WA,2013,2010-2019,23,8988,,,,,,,,,,,,,,
24,nsw/NSWCorC/2014/26,nsw/NSWCorC/2014/26,NSW,2014,2010-2019,6,1009,,,,,,,,,,,,,,
25,vic/VicCorC/2022/28269,vic/VicCorC/2022/28269,VIC,2022,2020plus,5,1855,,,,,,,,,,,,,,
26,sa/SACorC/2010/24,sa/SACorC/2010/24,SA,2010,2010-2019,1,4848,,,,,,,,,,,,,,
