theme,ADDR-DEPT-NAMED,ADDR-DEPT-GENERIC,ADDR-HEALTH,ADDR-REG,ADDR-PROF,ADDR-POLICE,ADDR-COURT,ADDR-PRIVATE,ADDR-UNSPEC
THEME-MH,141,19,123,1,16,26,1,21,22
THEME-CUST,77,12,4,0,0,124,4,5,44
THEME-MED,149,10,203,27,85,1,0,75,63
THEME-RTA,183,11,0,2,1,25,1,12,39
THEME-DV,22,14,0,0,3,32,1,8,1
THEME-DRUG,100,8,6,11,22,2,0,5,18
THEME-CHILD,60,11,6,0,2,4,0,17,18
THEME-WORK,64,17,2,3,4,1,0,39,17
THEME-REC,84,7,0,0,13,2,0,32,19
THEME-FIRE,19,2,0,0,0,0,0,1,7
THEME-PROD,31,1,0,10,0,0,0,9,9
THEME-OTHER,46,6,0,10,1,61,1,6,280
