jurisdiction,rank,configuration,count,pct_within_jurisdiction
NSW,1,OTHER × PROC × POLICE,28,15.7
NSW,2,MED × PROC × HEALTH,16,9.0
NSW,3,CUST × PROC × POLICE,13,7.3
NSW,4,MH × PROC × HEALTH,8,4.5
NSW,5,MED × PROC × DEPT-NAMED,7,3.9
VIC,1,MED × PROC × HEALTH,87,7.1
VIC,2,MH × PROC × HEALTH,64,5.3
VIC,3,MED × PROC × PROF,57,4.7
VIC,4,MH × PROC × DEPT-NAMED,53,4.4
VIC,5,DRUG × PROC × DEPT-NAMED,52,4.3
QLD,1,CUST × PROC × POLICE,29,12.6
QLD,2,CUST × OTHER × UNSPEC,20,8.7
QLD,3,RTA × PROC × POLICE,10,4.3
QLD,4,WORK × PROC × DEPT-NAMED,10,4.3
QLD,5,MED × OTHER × UNSPEC,10,4.3
WA,1,CUST × PROC × DEPT-NAMED,19,15.0
WA,2,MH × PROC × DEPT-NAMED,7,5.5
WA,3,CUST × PROC × POLICE,6,4.7
WA,4,MED × PROC × HEALTH,5,3.9
WA,5,MED × PROC × UNSPEC,5,3.9
SA,1,MED × PROC × DEPT-NAMED,48,16.2
SA,2,MED × PROC × HEALTH,22,7.4
SA,3,MH × PROC × DEPT-NAMED,17,5.7
SA,4,CUST × OTHER × UNSPEC,17,5.7
SA,5,MED × PROC × PROF,15,5.1
TAS,1,MED × PROC × HEALTH,20,9.0
TAS,2,MED × OTHER × UNSPEC,18,8.1
TAS,3,MED × PROC × PRIVATE,14,6.3
TAS,4,RTA × OTHER × UNSPEC,12,5.4
TAS,5,WORK × LEG × DEPT-GENERIC,12,5.4
NT,1,MED × PROC × DEPT-NAMED,12,7.9
NT,2,MED × PROC × HEALTH,12,7.9
NT,3,CUST × PROC × POLICE,11,7.3
NT,4,OTHER × PROC × DEPT-NAMED,8,5.3
NT,5,OTHER × PROC × POLICE,6,4.0
ACT,1,MED × PROC × HEALTH,2,11.1
ACT,2,MH × PROC × DEPT-NAMED,2,11.1
ACT,3,MED × PROC × UNSPEC,2,11.1
ACT,4,CHILD × PROC × DEPT-GENERIC,1,5.6
ACT,5,MED × PROC × DEPT-GENERIC,1,5.6
