axis,category,n_total,n_response,response_rate_pct
mechanism,MECH-LEG,209,77,36.8
mechanism,MECH-INFRA,155,60,38.7
mechanism,MECH-FUND,98,47,48.0
mechanism,MECH-INV,231,84,36.4
mechanism,MECH-PROC,1534,592,38.6
addressee,ADDR-DEPT-NAMED,976,395,40.5
addressee,ADDR-DEPT-GENERIC,118,28,23.7
addressee,ADDR-HEALTH,344,123,35.8
addressee,ADDR-REG,64,23,35.9
addressee,ADDR-PROF,147,46,31.3
addressee,ADDR-POLICE,278,118,42.4
addressee,ADDR-COURT,8,3,37.5
addressee,ADDR-PRIVATE,230,90,39.1
specificity,SPEC-1,1317,430,32.6
specificity,SPEC-2,1122,443,39.5
scope,SCOPE-IND,387,92,23.8
scope,SCOPE-SYS,2051,781,38.1
scope,SCOPE-MIX,1,0,0.0
theme,THEME-MH,370,162,43.8
theme,THEME-CUST,270,91,33.7
theme,THEME-MED,613,182,29.7
theme,THEME-RTA,274,105,38.3
theme,THEME-DV,81,26,32.1
theme,THEME-DRUG,172,62,36.0
theme,THEME-CHILD,118,44,37.3
theme,THEME-WORK,147,47,32.0
theme,THEME-REC,157,56,35.7
theme,THEME-FIRE,29,14,48.3
theme,THEME-PROD,60,23,38.3
jurisdiction,NSW,178,105,59.0
jurisdiction,VIC,1217,508,41.7
jurisdiction,QLD,230,79,34.3
jurisdiction,WA,127,79,62.2
jurisdiction,SA,297,53,17.8
jurisdiction,TAS,221,29,13.1
jurisdiction,NT,151,20,13.2
jurisdiction,ACT,18,0,0.0
