sample,axis,n_total,n_clean,krippendorff_alpha,pct_agreement,modal_share,verdict,provenance,comparison
v2.3,theme,50,43,0.894,0.907,0.244,Reliable,development_sample,
v2.3,mechanism,50,43,0.901,0.953,0.698,Reliable,development_sample,
v2.3,addressee,50,43,0.823,0.86,0.395,Reliable,development_sample,
v2.3,specificity,50,43,0.782,0.907,0.698,Tentative,development_sample,
v2.3,scope,50,43,0.0,0.977,0.988,Skew-Reliable,development_sample,
v2.2,theme,50,40,0.82,0.85,0.338,Reliable,development_sample,
v2.2,mechanism,50,40,0.854,0.95,0.8,Reliable,development_sample,
v2.2,addressee,50,40,0.808,0.85,0.4,Reliable,development_sample,
v2.2,specificity,50,40,0.901,0.95,0.525,Reliable,development_sample,
v2.2,scope,50,40,,1.0,1.0,unavailable,development_sample,
heldout_seed878,theme,50,40,0.709,0.75,0.275,Tentative,held_out_seed878,Opus_vs_Sonnet
heldout_seed878,mechanism,50,40,0.376,0.75,0.762,Unreliable,held_out_seed878,Opus_vs_Sonnet
heldout_seed878,addressee,50,40,0.841,0.875,0.35,Reliable,held_out_seed878,Opus_vs_Sonnet
heldout_seed878,specificity,50,40,0.844,0.925,0.613,Reliable,held_out_seed878,Opus_vs_Sonnet
heldout_seed878,scope,50,40,1.0,1.0,0.9,Reliable,held_out_seed878,Opus_vs_Sonnet
